Original,Deutsch,English
"  Repro quality, Brazilian Chrome not guaranteed.  %  Will not fit later vans as the plates are placed for the early narrow chassis.  %",Repro Qualit&auml;t mit m&auml;ssigem Chrom,"  Repro quality, Brazilian Chrome not guaranteed.  %  Will not fit later vans as the plates are placed for the early narrow chassis.  %"
  KF Quality  ,Handgefertigte Topqualit&auml;t,  Top quality  
  Autocraft  ,Handgefertigte Topqualit&auml;t,  Top quality  
"  Top quality, Made in USA  ",Top Qualit&auml;t Hergestellt in den USA,"  Top quality, Made in USA  "
  Genuine VW Brazil or equivalent top quality seal depending on availability.  ,Original Ersatzteil,  Genuine VW Brazil or equivalent top quality seal depending on availability.  
"  Top quality, manufactured by VDO.  ",Erstausr&uuml;ster Qualit&auml;t,"  Top quality, manufactured by VDO.  "
  Genuine Hella  ,Erstausr&uuml;ster Qualit&auml;t,O.E. quality
  Hella  ,Erstausr&uuml;ster Qualit&auml;t,O.E. quality
"  Top quality, manufactured by SWF/VALEO  ",Erstausr&uuml;ster Qualit&auml;t,O.E. quality
  ATE  ,Erstausr&uuml;ster Qualit&auml;t,O.E. quality
"  Top quality, manufactured by Hella  ",Erstausr&uuml;ster Qualit&auml;t,O.E. quality
  Good quality - American made tyre  ,Markenreifen aus USA,  Good quality - American made tyre  
  Sachs - German  ,Erstausr&uuml;ster Qualit&auml;t Hergestellt in Deutschland,O.E. quality
  Sachs or Boge - German  ,Erstausr&uuml;ster Qualit&auml;t Hergestellt in Deutschland,  Sachs or Boge - German  
  Genuine Parts  ,Original Ersatzteil,  Genuine Parts  
  German F.A.G  ,Erstausr&uuml;ster Qualit&auml;t Hergestellt in Deutschland,  German F.A.G  
  Top quality. Hand made in the UK for VW Heritage  ,Handgefertigte Topqualit&auml;t,  Top quality. Hand made in the UK for VW Heritage  
  Kf Quality  ,Handgefertigte Topqualit&auml;t,O.E. quality
"  Top quality, manufactured by Kolbenschmidt.  ",Erstausr&uuml;ster Qualit&auml;t,"  Top quality, manufactured by Kolbenschmidt.  "
"  Good quality, manufactured by Mahle  ",Erstausr&uuml;ster Qualit&auml;t,"  Good quality, manufactured by Mahle  "
  OE Quality (ATE)  ,Erstausr&uuml;ster Qualit&auml;t,  OE Quality (ATE)  
  Genuine VW and brand new but due to their age and the fact that VW do not box wheels these may have minor damage to edges or face of the wheel. We box them as soon as they arrive on our premises.  ,Original Ersatzteil aus Altbestand. M&ouml;gliche Lagerspuren,  Genuine VW and brand new but due to their age and the fact that VW do not box wheels these may have minor damage to edges or face of the wheel. We box them as soon as they arrive on our premises.  
  Bugpack  ,Top Qualit&auml;t Hergestellt in den USA,  Bugpack  
  Made by Bugpack  ,Top Qualit&auml;t Hergestellt in den USA,  Made by Bugpack  
"  Top quality, manufactured by Thunderbird  ",Top Qualit&auml;t Hergestellt in den USA,"  Top quality, manufactured by Thunderbird  "
  Top quality after market wheel from USA.  ,Gute Qualit&auml;t aus den USA,  Top quality after market wheel from USA.  
  Flat 4  ,Top Qualit&auml;t Hergestellt von Flat 4,  Flat 4  
  Manufactured By Flat 4  ,Top Qualit&auml;t Hergestellt von Flat 4,  Manufactured By Flat 4  
"  Genuine VW Mexico, adjusters welded in the UK.  ",OE Teil in Deutschland mit Verstellern versehen,"  Genuine VW Mexico, adjusters welded in the UK.  "
"Top quality, manufactured by CB Performance  ",Top Qualit&auml;t Hergestellt in den USA,"Top quality, manufactured by CB Performance  "
  CSP  ,Top Qualit&auml;t Hergestellt in Deutschland,Top quality
  GAZ  ,Topqualit&auml;t Hergestellt in Grossbritanien.,  GAZ  
"  Good quality, chrome isn't guaranteed.  ","Gute Qualit&auml;t, allerdings keine Garantie auf den Chrom","  Good quality, chrome isn't guaranteed.  "
  EMPI  ,Zubeh&ouml;rqualit&auml;t,  EMPI  
  CB Performance  ,Top Qualit&auml;t Hergestellt in den USA,  CB Performance  
  Good Quality Metal version (not the inferior Plastic type)  ,Gute Qualit&auml;t,  Good Quality Metal version (not the inferior Plastic type)  
"  Top quality, supplied by Bugpack.  ",Top Qualit&auml;t Hergestellt in den USA,"  Top quality, supplied by Bugpack.  "
  Good quality after market accessory.  ,Zubeh&ouml;rqualit&auml;t,  Good quality after market accessory.  
  Manufactured in Italy  ,Erstausr&uuml;ster Qualit&auml;t Hergestellt in Italien.,  Manufactured in Italy  
  Manufactured in the UK  ,Erstausr&uuml;ster Qualit&auml;t Hergestellt in Grossbritanien.,  Manufactured in the UK  
  Manufactured by Pertronix  ,Top Qualit&auml;t Hergestellt in den USA,  Manufactured by Pertronix  
  Good quality repro and OE.  ,Qualit&auml;tsteil oder OE Teil,  Good quality repro and OE.  
  USA made  ,Top Qualit&auml;t Hergestellt in den USA,  USA made  
"  USA made, high quality  ",Top Qualit&auml;t Hergestellt in den USA,"  USA made, high quality  "
"  Best qulaity, manufactured in the U.S.  ",Top Qualit&auml;t Hergestellt in den USA,"  Best qulaity, manufactured in the U.S.  "
  Made by Laser Tools  ,Qualit&auml;tswerkzeug,  Made by Laser Tools  
  Made by Gunson  ,Qualit&auml;tswerkzeug,  Made by Gunson  
  Quality Item  ,Qualit&auml;tsteil,  Quality Item  
  VDO Quality  ,Erstausr&uuml;ster Qualit&auml;t,O.E. quality
"  Good Quality, from Bus Boys in USA  ",Top Qualit&auml;t Hergestellt in den USA,"  Good Quality, from Bus Boys in USA  "
"  Top quality, manufactured by VDO  ",Erstausr&uuml;ster Qualit&auml;t,O.E. quality
  Manufactured by VDO  ,Erstausr&uuml;ster Qualit&auml;t,O.E. quality
"  Top quality, manufactured by CSP in Germany  ",Top Qualit&auml;t Hergestellt in Deutschland,"  Top quality, manufactured by CSP in Germany  "
  Manufactured by Bosch  ,Erstausr&uuml;ster Qualit&auml;t,O.E. quality
